condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,n_calls
vary_pool,1.6,7,belady,0.0,closed,16,0.5,10788,2.0,200,0.17971094512644883,60870523,74206187,7.814954127959595,19.552774382976622,19.230677705491075,41.72833891516075,16.59103252437808,6433.02011246572,6424.703622176081,0.9987072183602344,140,3623098,0,15.664713177764217,1111.9540066382172,1.6146125862860028,1.649171682073737,5.4680670955958615,1.2963648875286538,4218
vary_pool,1.6,8,oracle_terminal,0.0,closed,16,0.5,10788,2.0,200,0.32299244120632625,53163248,78526816,3.9127777733067433,17.17278930951352,11.902410124997232,36.553291303919195,14.276749810282354,6518.280155463771,6252.441609668697,0.9592164590268122,89,3350027,0,15.278538378475579,1157.0254197761194,1.6386408306378624,1.7160184201351418,5.5405381321442055,1.2921031091754211,4288
vary_pool,1.6,8,belady,0.0,closed,16,0.5,10788,2.0,200,0.3791878687657475,48750400,78526816,2.7632326392858886,17.35466081594859,9.74891171057996,36.04083443032414,14.265054754582252,6219.773235165882,5944.932515055295,0.9558117780634398,82,2861389,0,15.240607121157687,1157.0254197761194,1.634572659621838,1.7160184201351418,5.286807249891001,1.2329307952171178,4288
vary_pool,1.6,9,lru,0.0,closed,16,0.5,10788,2.0,200,0.2096192769176449,61172195,77395859,6.9334405371737375,17.18397599541231,17.435105896975926,40.20800618467365,14.347708625621635,6653.021146341026,6607.785616289949,0.9932007536041043,115,3859436,0,15.703343918098602,1141.088194120392,1.6610029989946768,1.6923814521622425,5.655067974389873,1.3194278988310482,4286
vary_pool,1.6,9,oracle_terminal,0.0,closed,16,0.5,10788,2.0,200,0.2135738037354169,60866131,77395859,6.715127652550109,17.404304736911854,17.196712022553356,40.406608681941975,14.355724688159171,6614.46287382576,6571.452874388026,0.9934975824555718,94,3833240,0,15.711939014343452,1141.088194120392,1.6619121353361979,1.6923814521622425,5.622293442751896,1.3117810179075817,4286
vary_pool,1.6,9,belady,0.0,closed,16,0.5,10788,2.0,200,0.24986101646601014,58057651,77395859,6.260910683929026,17.75933218088835,16.22106941485937,40.28346715265002,14.545384218252366,6402.071438526699,6367.706617647328,0.9946322340808994,122,3439111,0,15.733054001458392,1141.088194120392,1.664145548620946,1.6923814521622425,5.441760722747694,1.269659524672817,4286
bigger_gpu,1.6,0,lru,0.0,closed,59,0.5,40000,2.0,590,0.10569663240591921,188786907,211099403,29.601693647573484,48.596788405928464,76.25787622081589,156.3608723419993,45.111531841032274,18111.216985684674,18075.718997009182,0.9980399998131794,184,11896289,0,58.042772875967735,1082.3745843808288,1.5706005541984105,1.5965025119617224,15.394534437831972,1.2484416866297927,12331
bigger_gpu,1.6,1,lru,0.0,closed,59,0.5,40000,2.0,590,0.10361559882163456,189993119,211954959,30.052042852355953,45.86254960639053,75.65464901288851,156.27707037258824,42.50838874550027,18257.759507885272,18186.734563272694,0.9961098762100628,155,11971349,0,57.86762736411909,1089.064288036411,1.5755391598915172,1.6063698248537062,15.51909558170248,1.2613049074855722,12304
bigger_gpu,1.6,0,oracle_terminal,0.0,closed,59,0.5,40000,2.0,590,0.10629593301123642,188660395,211099403,29.601693647573484,48.596788405928464,76.25787622081589,156.3608723419993,45.111531841032274,18100.912465364163,18065.29793034255,0.9980324453206565,184,11888099,0,58.060034244122726,1082.3745843808288,1.5710676358529756,1.5965025119617224,15.385775595559538,1.2477313758462036,12331
bigger_gpu,1.6,1,oracle_terminal,0.0,closed,59,0.5,40000,2.0,590,0.10305849932956747,190111199,211954959,29.828369745079954,45.55178607530979,75.6487334382623,156.89609259956933,42.31806628608683,18263.37690504196,18191.998224579922,0.9960917041337337,158,11977363,0,57.8627154782686,1089.064288036411,1.5754054259048502,1.6063698248537062,15.523870369285666,1.2616929753970796,12304
