loop,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
open_matched,9,oracle_terminal,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.2796259164201537,55753971,77395859,73.53165061711934,200.87621444460274,92.52321464302122,226.93126144453254,196.00845169115837,10295.215876835588,9567.33857685707,0.9292994621301478,120,3514546,0,45.27047943225425,1141.088194120392,4.014424123586831,,8.75093349531025,2.041748365681346,8.13223779032851,1.8973956580327835,4286
closed,10,lru,0.0,closed,16,0.5,12868,5.0,200,0.2765965069427107,56497114,78099034,7.68682325840706,26.622134952767283,24.198928654803353,65.77914616320288,21.772338467326335,9145.395438012198,9108.434141169771,0.9959584801889704,68,3564236,0,15.62597482789544,1140.0420517560074,1.3843851727915482,1.4175219791806122,7.773586122310368,1.7961150929552607,7.742169019994306,1.7888560582241928,4328
open_matched,10,lru,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.22662364812348385,60399946,78099034,94.22878260773177,190.97097879256307,119.4883358276818,221.2125271565801,186.82596774199737,9996.785631673281,9814.041114408052,0.9817196723028419,136,3810995,0,51.57529756453082,1140.0420517560074,4.569319867531421,,8.497267786922288,1.9633243500282553,8.341934947246845,1.927434137533929,4328
closed,11,lru,0.0,closed,16,0.5,12868,5.0,200,0.4759766885388312,37318012,71214412,1.7559683824395051,17.65513226895422,10.947401160285878,49.387700823190244,13.629662683817287,7017.06154192346,6909.725262757439,0.984703528888162,34,2364822,0,15.537236823372725,1090.1929782082325,1.3163340445756393,1.355539916951486,5.964502310634941,1.4441894214612447,5.873266473343823,1.4220984196958408,4130
open_matched,9,belady,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.35034990696336865,50280227,77395859,36.78867051227371,163.6604202791941,59.935660395112336,192.99622882473523,160.0375202621335,9799.06868323519,9017.208322382716,0.9202107479672915,99,3119222,0,39.07022657028662,1141.088194120392,3.4646078863042367,,8.329208380749911,1.9433523986817338,7.664627074025309,1.7882937643549484,4286
closed,10,oracle_terminal,0.0,closed,16,0.5,12868,5.0,200,0.28660902515132264,55715146,78099034,7.759776257823461,27.460580570987986,23.56168897647035,65.28989146156027,22.381569099246008,9028.193263899342,8997.58594320975,0.9966098066584396,76,3503901,0,15.689386004141577,1140.0420517560074,1.3900030937949603,1.4175219791806122,7.673964274314441,1.7730971058952036,7.647948051728288,1.7670859638928578,4328
open_matched,11,lru,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.2692823469496596,52037628,71214412,29.931308941665748,111.3996549781341,54.036044169048864,142.39563169909525,107.68723573667376,8932.105528860424,8635.765610808696,0.9668230612486354,100,3287212,0,32.69386704072691,1090.1929782082325,2.7698651133256167,,7.59228969953136,1.8383268037606197,7.340400769187391,1.7773367479872617,4130
open_matched,10,oracle_terminal,0.0,poisson,32,0.03427853184945713,12868,5.0,200,0.23004678905503492,60132602,78099034,93.32804897757023,184.80465797399756,116.6963480907425,215.79724495008668,181.0517625888806,9933.96150240354,9743.677952511549,0.980845149254308,100,3792204,0,50.29017326559946,1140.0420517560074,4.455464121299279,,8.443867277043008,1.950985969741915,8.282126259634817,1.9136151246845696,4328
closed,10,belady,0.0,closed,16,0.5,12868,5.0,200,0.349704504667753,50787450,78099034,6.402610392923407,27.674658886233374,21.23040844588195,64.96437678425423,22.817959050665536,8554.130433355824,8509.141670966199,0.9947406971707847,83,2990551,0,15.640787997190825,1140.0420517560074,1.385697547357644,1.4175219791806122,7.271010868352451,1.6799932690278307,7.232770420321269,1.6711576756749698,4328
closed,11,oracle_terminal,0.0,closed,16,0.5,12868,5.0,200,0.5211695632619981,34099628,71214412,0.9260006220846435,19.82676049803308,7.997378757481783,51.017627930977596,15.34101273753447,6781.724221789887,6655.14474093155,0.9813352066939505,40,2146954,0,15.471955179910536,1090.1929782082325,1.310803302478315,1.355539916951486,5.7644655885214044,1.395754379787265,5.656873029791817,1.3697029127825222,4130
