termination_signal_strength,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.0,5,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.6117301228664974,28370169,73068169,0.44244243560217456,9.16163417344842,6.471915789412051,27.725505066063306,1.1231616775608018,6137.11508316198,6084.805804734295,0.9914765687592851,17,1637293,0,9.812333089335809,1112.448217726397,0.8482835294505262,0.8645074741423663,5.216547820687683,1.2563939837879776,5.172084934024151,1.2456851960559132,4152
0.0,6,lru,0.0,closed,10,0.5,12868,2.0,200,0.8379710461142755,11454016,70691168,0.13581599476860617,5.004840871513807,3.2934120025781795,16.40741861672194,0.7097024992176557,4369.0420378557255,4327.713637572412,0.9905406265434799,9,750865,0,9.905071650713698,1072.1007194244605,0.8252435842928958,0.8331525640538238,3.7136857321773666,0.8905721180281455,3.6785565919365504,0.8821478637737531,4170
0.0,6,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8469627210007338,10818384,70691168,0.13045895753407422,4.782712508083932,3.179539628180294,16.94995784456023,0.6987273453819398,4325.498869867367,4281.809536434945,0.9898995850543912,16,691825,0,9.904641309596746,1072.1007194244605,0.8252077303123952,0.8331525640538238,3.6766740393872617,0.8816964123230844,3.639538105969703,0.8727909127025668,4170
0.0,6,belady,0.0,closed,10,0.5,12868,2.0,200,0.8471152718823376,10807600,70691168,0.12709590785152614,4.705441356707524,3.150783533918002,17.566429400926495,0.7291549920901161,4335.050570699841,4285.105276263018,0.9884787285356258,0,636347,0,9.91817709563697,1072.1007194244605,0.8263354677969849,0.8331525640538238,3.684792985094865,0.8836434017014064,3.642339484823565,0.8734627061927014,4170
0.0,6,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.8474570401779187,10783440,70691168,0.13045213447617243,4.886964653569066,3.1410919952386394,18.67301358555261,0.7404101360605182,4344.488616608912,4305.193557384794,0.9909551934204883,5,655796,0,9.899807639491042,1072.1007194244605,0.8248050118481595,0.8331525640538238,3.692815324117575,0.8855672240090108,3.659414523777075,0.8775574397546942,4170
0.0,7,lru,0.0,closed,10,0.5,12868,2.0,200,0.8395879982352414,11903563,74206187,0.15822148704137362,5.61759374399162,3.6517768074595094,19.032955130290247,0.9200255159994413,4065.748309335078,4054.203089651522,0.9971603702922172,0,778815,0,9.8394291842866,1111.9540066382172,0.8502481119443962,0.8641234120595408,3.455886062934816,0.8193186493444324,3.4460726262037937,0.8169920877676135,4218
0.0,6,predict,0.0,closed,10,0.5,12868,2.0,200,0.416248434316434,41266080,70691168,1.417044978976719,10.890351897081018,9.70529395563176,34.901499385126954,1.2402656606982418,7441.734963077475,7411.397981632306,0.9959233993691408,0,2151082,0,9.87790419998811,1072.1007194244605,0.822980121169813,0.8331525640538238,6.325474718615855,1.5169004121380945,6.299688284387461,1.5107166149610218,4170
0.0,6,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8335013505506091,11769984,70691168,0.13623063249258394,5.479758892462314,3.374267427124778,17.192802269863478,0.7978853816912306,4429.285929010462,4383.2546928383335,0.9896075266058942,8,767592,0,9.908954415295653,1072.1007194244605,0.8255670778196033,0.8331525640538238,3.764893039658892,0.9028520478798302,3.7257664889125834,0.8934691819934253,4170
0.0,7,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.849569699626259,11162859,74206187,0.15061858639568015,5.92708648268615,3.5332327076582715,18.920576029948734,0.9059560853511357,4003.5579811620723,3984.963106354141,0.9953554126366033,2,707978,0,9.836598026091057,1111.9540066382172,0.8500034649363948,0.8641234120595408,3.4030242839877616,0.8067862219032151,3.38721864040102,0.803039032812001,4218
0.0,6,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.5865044979876411,29230480,70691168,0.39589915909186857,10.043745128200499,6.037592192752982,30.930447962150538,1.7747971279368358,6206.746007576118,6181.8970456749075,0.9959964590349147,8,1694193,0,9.867422501012912,1072.1007194244605,0.8221068357321304,0.8331525640538238,5.2757341064397005,1.2651640543020866,5.254612488823671,1.2600989181831346,4170
0.0,7,belady,0.0,closed,10,0.5,12868,2.0,200,0.8578721879349495,10546763,74206187,0.14660810618033793,4.669465997723819,3.532512506633907,16.59078342748512,0.7381872818194779,3935.202314178609,3914.1923788422223,0.9946610279068276,10,611372,0,9.825329510704885,1111.9540066382172,0.8490297261399604,0.8641234120595408,3.3449219670518175,0.7930113719895253,3.327063522015889,0.788777506404905,4218
0.0,7,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.8530913466824539,10901531,74206187,0.15236894130924838,5.077166742413738,3.52951184323274,18.76532058818907,0.9353012196863801,3980.9765456508385,3956.964974868021,0.9939684219418349,10,660368,0,9.823517397507791,1111.9540066382172,0.8488731371960694,0.8641234120595408,3.3838300638032126,0.8022356718357545,3.363420228637818,0.7973969247600328,4218
0.0,7,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8148629439752779,13738315,74206187,0.1591240513248522,8.364220275718708,3.6808897981100017,23.508212095525096,1.9607460448933125,4317.603465299044,4298.155226449472,0.995495594024352,2,890138,0,9.846511251675564,1111.9540066382172,0.8508600899680547,0.8641234120595408,3.6699629455041873,0.8700718220730648,3.6534319424820514,0.8661526653584759,4218
0.0,7,predict,0.0,closed,10,0.5,12868,2.0,200,0.45390975283502977,40523275,74206187,1.4666647869662484,10.49695453101151,10.491378602986401,35.666079048067104,2.8416506674748234,7265.4325692661705,7250.8622012795795,0.9979945629048674,17,2056816,0,9.774693851147466,1111.9540066382172,0.8446541802490962,0.8641234120595408,6.175617683876245,1.4641104039535906,6.163232871087644,1.4611742226381328,4218
0.0,7,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.6226618273756608,28000827,74206187,0.3712305134690155,9.866734078877244,6.761755835620647,30.236651427942036,1.6562199682766732,5886.368274141657,5868.43911169237,0.9969541215203866,17,1609808,0,9.799989881897304,1111.9540066382172,0.8468400694894075,0.8641234120595408,5.003413033020408,1.1862050813229985,4.9881732449385146,1.1825920447933889,4218
0.0,8,lru,0.0,closed,10,0.5,12868,2.0,200,0.791858516204197,16344688,78526816,0.16967292356866892,10.076583144465985,3.7930636232840698,28.167408697254814,3.2356109382844807,4959.233110101325,4890.610211111636,0.9861625986385046,14,1057126,0,9.804915284104657,1157.0254197761194,0.8816083480308113,0.8991493781287841,4.215348143586127,0.9830569364706451,4.157018679444891,0.9694539830794989,4288
0.0,8,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.807230997370376,15137536,78526816,0.15838972147344066,9.485238120404574,3.664677690885995,26.91909333352214,3.9369608514934953,4805.48996192657,4732.317666284583,0.9847731872875141,2,958461,0,9.803833128965467,1157.0254197761194,0.8815110461187672,0.8991493781287841,4.084666467637584,0.9525807993557799,4.022470016341895,0.9380760299304792,4288
0.0,8,belady,0.0,closed,10,0.5,12868,2.0,200,0.8202316008839579,14116640,78526816,0.16151919521166747,7.921260739404488,3.6330417547162597,24.86407006945865,1.7686338310104475,4683.2855565742575,4626.584718173923,0.9878929359067717,1,792989,0,9.804299602872538,1157.0254197761194,0.8815529890911127,0.8991493781287841,3.980792723088119,0.9283565119142069,3.9325970104478345,0.9171168401230957,4288
0.0,9,lru,0.0,closed,10,0.5,12868,2.0,200,0.8124426398575149,14516163,77395859,0.16114379017767533,8.152425805877101,3.711200994492515,25.00900438054407,1.5015750293705423,4661.571517883247,4629.335342457154,0.9930846978744347,6,943174,0,9.832533467119653,1141.088194120392,0.8719138838688127,0.886764216755045,3.9623357902007603,0.9244833854878115,3.9349350410885813,0.9180903035670979,4286
0.0,8,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.829664709696112,13375888,78526816,0.15906218134512073,7.236739690470358,3.5585286676353576,24.26467629000672,1.2982930836196829,4593.568701849218,4532.870899064357,0.9867863513698127,1,813143,0,9.794679693553212,1157.0254197761194,0.8806880155429,0.8991493781287841,3.904533396571835,0.9105721540512676,3.8529402642047033,0.8985401735552013,4288
0.0,8,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.7937175499386095,16198704,78526816,0.17292905917815915,8.256926637026368,3.8298232584857033,27.312950741680652,2.253464533246415,4951.241775003381,4889.543701936385,0.987538868859428,17,1041590,0,9.80623776411835,1157.0254197761194,0.8817272587390014,0.8991493781287841,4.208555508752874,0.981472833197965,4.156112146645928,0.9692425715125764,4288
0.0,9,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8314057215903502,13048499,77395859,0.15228411799199648,6.65743034097386,3.557953762509297,23.163256932759168,1.262149818385467,4509.172451326902,4475.5461496068565,0.9925426889117647,4,836223,0,9.809793293505333,1141.088194120392,0.8698973666444151,0.886764216755045,3.8327965836278666,0.8942595855407994,3.804214227165828,0.8875908136177852,4286
0.0,8,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.6279817584861711,29213408,78526816,0.3855672698628041,10.56721822126292,6.406444486462533,31.921217891926062,4.290139382657799,6300.854442021531,6278.430012159503,0.9964410493738,16,1704608,0,9.875897253920563,1157.0254197761194,0.8879906874326442,0.8991493781287841,5.355726275718302,1.2490033292253504,5.336665510335578,1.2445581880446777,4288
0.0,9,belady,0.0,closed,10,0.5,12868,2.0,200,0.8321507743715333,12990835,77395859,0.15264902285633752,7.34304295877439,3.5357724503362675,24.142378019219905,1.264007584170031,4499.206729298475,4465.786422244537,0.9925719556658049,3,735999,0,9.821462049354144,1141.088194120392,0.8709321101584927,0.886764216755045,3.8243257199037037,0.8922831824320354,3.795918458907856,0.8856552633942735,4286
0.0,8,predict,0.0,closed,10,0.5,12868,2.0,200,0.45515926686751185,42784608,78526816,1.4410395479358158,11.901102238333351,10.142342896527396,39.610324308550844,4.096087861210435,7777.413176889197,7745.042694403715,0.9958378857147938,20,2151473,0,9.877356249762288,1157.0254197761194,0.888121872953022,0.8991493781287841,6.610801200355817,1.5416980411277557,6.583286290243158,1.5352813176873037,4288
