signal,threshold,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.75,0.3,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.872558170314677,9197550,72170574,0.14891833502520058,3.712827829090827,3.1213207575527235,12.665812925078527,0.6371855137613238,3595.169580209249,3525.330658945835,0.9805742344817712,0,593568,0,9.722546457219353,1079.5172903837044,0.8156401155678522,0.8389161411126084,3.055894143177862,0.7238024971998726,2.9965310601039596,0.7097420796077593,4222
0.75,0.7,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8857830616672108,8243102,72170574,0.1422727660280998,1.9898805076486497,2.9990632946025926,10.956285160362029,0.5056880029387685,3481.27514139515,3413.6027463808223,0.9805610323040403,0,544658,0,9.712362551672143,1079.5172903837044,0.81478577129354,0.8389161411126084,2.9590838701858777,0.7008725414935759,2.901562334423699,0.6872483028004972,4222
0.75,-1.0,5,lru,0.0,closed,10,0.5,12868,2.0,200,0.898890620219785,6847182,67720542,0.12620567202725397,1.4968806445710925,2.6157968758379866,8.798718941449806,0.39747147281786965,3511.689946511159,3437.496983431232,0.9788725758224648,0,455865,0,9.82739366128714,1039.574240583232,0.7939310928151264,0.807875536667106,2.9849364545344854,0.7253794543218677,2.921872435916547,0.7100540549007405,4115
0.75,0.95,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8887345138754197,8030094,72170574,0.14447547411930373,1.8131444584928431,2.998864996721295,10.288529527608944,0.4741926101555691,3444.6371338935533,3379.287588677015,0.9810286126879575,0,530936,0,9.719189594371914,1079.5172903837044,0.8153585029252304,0.8389161411126084,2.92794156380952,0.6934963438677214,2.8723944503754626,0.6803397561287216,4222
0.75,-1.0,5,belady,0.0,closed,10,0.5,12868,2.0,200,0.9139648055386208,5826350,67720542,0.12129765046347529,0.9715883758394739,2.539004770585734,7.894749765848019,0.2811467274616746,3440.1273814259516,3358.691912549585,0.9763277751527296,0,371278,0,9.803169306172977,1039.574240583232,0.7919740664262996,0.807875536667106,2.924108274212059,0.7105973934901724,2.8548881256671472,0.6937759722155886,4115
0.75,0.85,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8903112229646393,7916302,72170574,0.14646638310443905,1.8214108497916186,2.9941303297912327,10.39415153768141,0.5155888564995621,3430.214164683888,3367.8541685179125,0.9818203782119469,0,523227,0,9.71997506514807,1079.5172903837044,0.8154243973364793,0.8389161411126084,2.915682039981305,0.6905926196071305,2.8626760432402256,0.678037906973052,4222
0.75,-1.0,5,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.9096305224491559,6119870,67720542,0.12334395982168189,1.1484869205773975,2.563926884027751,8.128298783306946,0.31421143315402844,3454.6815069013583,3382.6331257025936,0.9791447110088629,0,402209,0,9.839552777286587,1039.574240583232,0.7949133980514715,0.807875536667106,2.9364792808661546,0.7136037134547156,2.8752381568472045,0.6987213017854689,4115
0.75,0.99,4,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8908308807409513,7878798,72170574,0.14573762179225014,1.706832389306328,2.9973886674154073,10.206667870303363,0.4827460522675864,3424.515893421383,3368.947802118276,0.9837734462234923,0,521904,0,9.726116476539065,1079.5172903837044,0.8159396102509912,0.8389161411126084,2.9108385094081757,0.6894454072496864,2.8636056318005343,0.6782580842729831,4222
0.75,0.3,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8715566393429043,8698254,67720542,0.1301343386566316,3.3632390069547,2.779884192804957,11.29993681788119,0.4620264682848756,3706.2534973869683,3640.9445259408003,0.982378708986794,0,570284,0,9.821206022675272,1039.574240583232,0.7934312086287,0.807875536667106,3.1503154727789235,0.7655687661674176,3.0948028470496802,0.7520784561481605,4115
0.75,-1.0,6,lru,0.0,closed,10,0.5,12868,2.0,200,0.864922436136027,9212585,68202185,0.13512758401475367,3.382489099043596,2.8304988377260543,11.78265360215255,0.5529303666446594,3784.4840821695825,3715.8169099481725,0.9818556054853204,0,604478,0,9.844539528062477,1039.0028936580661,0.7948791619822914,0.8074315306637131,3.216811469844145,0.7756960380622485,3.1584443734559464,0.7616215031241733,4147
0.75,0.5,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.891477566733001,7349198,67720542,0.1266946894988905,1.940818313879845,2.6411370703663124,9.498104673177295,0.4047477392491601,3560.741007959824,3498.1557358656346,0.9824235259025345,2,481229,0,9.836612252202462,1039.574240583232,0.7946758402234295,0.807875536667106,3.0266298567658505,0.7355115083270597,2.9734323754857894,0.7225838093525613,4115
0.75,0.7,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8970555492600754,6971454,67720542,0.1254397189568408,1.499772620992644,2.612969362941385,8.801068215112082,0.3890077646958616,3527.0918947946975,3460.0220696557394,0.9809843839799184,0,462264,0,9.831489611302013,1039.574240583232,0.794261994596769,0.807875536667106,2.998028110575493,0.7285609017194393,2.9410187592073784,0.714706867365098,4115
0.75,0.85,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.897047988777172,6971966,67720542,0.1261346362803124,1.4383003674722659,2.625273299487503,8.900715735516314,0.36911347623117763,3526.035019585659,3449.7553511535657,0.9783667297663263,0,463665,0,9.826716120459684,1039.574240583232,0.793876355949167,0.807875536667106,2.9971297666478103,0.7283425921379855,2.9322920484805306,0.7125861600195701,4115
0.75,0.95,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.897047988777172,6971966,67720542,0.1261346362803124,1.4383003674722659,2.625273299487503,8.900715735516314,0.36911347623117763,3526.035019585659,3449.7553511535657,0.9783667297663263,0,463665,0,9.826716120459684,1039.574240583232,0.793876355949167,0.807875536667106,2.9971297666478103,0.7283425921379855,2.9322920484805306,0.7125861600195701,4115
0.75,0.99,5,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.898890620219785,6847182,67720542,0.12620567202725397,1.4968806445710925,2.6157968758379866,8.798718941449806,0.39747147281786965,3511.689946511159,3437.496983431232,0.9788725758224648,0,455865,0,9.82739366128714,1039.574240583232,0.7939310928151264,0.807875536667106,2.9849364545344854,0.7253794543218677,2.921872435916547,0.7100540549007405,4115
0.75,-1.0,6,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8842255127163448,7896073,68202185,0.13166228352520193,2.166067014433338,2.6910382714902426,10.372396875951836,0.5169883574807272,3649.497590654997,3577.049202416042,0.9801483940078579,0,507845,0,9.864772367796906,1039.0028936580661,0.7965128252579358,0.8074315306637131,3.1020729520567474,0.7480282016051959,3.040491822053636,0.733178640475919,4147
0.75,-1.0,6,belady,0.0,closed,10,0.5,12868,2.0,200,0.9009391121413486,6756169,68202185,0.12588392052975905,1.494089252003505,2.67908099531428,9.17438544452284,0.38475976575455206,3519.035698740399,3435.4978116241855,0.9762611424640805,2,416258,0,9.859862652248774,1039.0028936580661,0.7961163993439205,0.8074315306637131,2.9911803439293387,0.7212877607738941,2.9201731398805575,0.7041652133784803,4147
0.75,0.3,6,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8510361948081282,10159657,68202185,0.13957704030372042,4.26188629450462,2.939749678029102,13.751528083148514,0.6438820835996921,3904.344505562174,3825.749909571485,0.9798699638623789,0,652994,0,9.842750457534136,1039.0028936580661,0.794734706786775,0.8074315306637131,3.3186928297278477,0.8002635229630691,3.2518874231357624,0.7841541893262026,4147
0.75,0.5,6,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8629164006988925,9349401,68202185,0.13843349024546114,3.1912543328153333,2.8473292757057607,12.330367667150767,0.6000716294512358,3797.8311314464027,3727.1997635468992,0.9814021831263984,0,608274,0,9.849228147203998,1039.0028936580661,0.7952577358753052,0.8074315306637131,3.228156461729442,0.7784317486687828,3.1681197990148644,0.7639546175584434,4147
0.75,0.85,6,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8689870566463523,8935369,68202185,0.13145051880655956,2.583603789538074,2.793004607752323,11.703274905700255,0.5125194101669877,3741.0464262023315,3666.244096242713,0.9800049714872016,0,587062,0,9.85382068249742,1039.0028936580661,0.7956285516554645,0.8074315306637131,3.179889462271982,0.7667927326433523,3.116307481806306,0.7514606900907417,4147
0.75,0.7,6,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8698585829764838,8875929,68202185,0.13278514619742054,3.1165080806390506,2.7851460552797107,11.531037700329307,0.5202341197940825,3746.311719922237,3675.502952557241,0.9810990721918714,3,579688,0,9.839641184384227,1039.0028936580661,0.7944836542689069,0.8074315306637131,3.1843649619339014,0.7678719464513869,3.124177509673655,0.7533584542256221,4147
